accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	reverse	authors	institution
MF496397	MF496397.1	R102-18	2013-XX-XX	Asia	Taiwan			Homo sapiens	2017-08-30		Chi et al		Chi,H., Hsiao,K.-L., Weng,L.-C., Chiu,N.-C., Huang,L.-M., Chiu,Y.-Y., Liu,C.-P., Liu,H.-F.	
MF496398	MF496398.1	R102-21	2013-XX-XX	Asia	Taiwan			Homo sapiens	2017-08-30		Chi et al		Chi,H., Hsiao,K.-L., Weng,L.-C., Chiu,N.-C., Huang,L.-M., Chiu,Y.-Y., Liu,C.-P., Liu,H.-F.	
MF496486	MF496486.1	R102-06	2013-XX-XX	Asia	Taiwan			Homo sapiens	2017-08-30		Chi et al		Chi,H., Hsiao,K.-L., Weng,L.-C., Chiu,N.-C., Huang,L.-M., Chiu,Y.-Y., Liu,C.-P., Liu,H.-F.	
MF496521	MF496521.1	M103-83	2013-XX-XX	Asia	Taiwan			Homo sapiens	2017-08-30		Chi et al		Chi,H., Hsiao,K.-L., Weng,L.-C., Chiu,N.-C., Huang,L.-M., Chiu,Y.-Y., Liu,C.-P., Liu,H.-F.	
MF496535	MF496535.1	M103-103	2013-XX-XX	Asia	Taiwan			Homo sapiens	2017-08-30		Chi et al		Chi,H., Hsiao,K.-L., Weng,L.-C., Chiu,N.-C., Huang,L.-M., Chiu,Y.-Y., Liu,C.-P., Liu,H.-F.	
MF589051	MF589051.1	2013-52-151_A	2013-XX-XX	Europe	France			Homo sapiens	2017-08-30		Gaymard et al		Gaymard,A., Pichon,M., Morfin,F.	
MF589067	MF589067.1	2013-52-274_Av	2013-XX-XX	Europe	France			Homo sapiens	2017-08-30		Gaymard et al		Gaymard,A., Pichon,M., Morfin,F.	
MF589068	MF589068.1	2013-52-283_Av	2013-XX-XX	Europe	France			Homo sapiens	2017-08-30		Gaymard et al		Gaymard,A., Pichon,M., Morfin,F.	
MF589069	MF589069.1	2013-52-369_Av	2013-XX-XX	Europe	France			Homo sapiens	2017-08-30		Gaymard et al		Gaymard,A., Pichon,M., Morfin,F.	
MF589070	MF589070.1	2013-52-454_Av	2013-XX-XX	Europe	France			Homo sapiens	2017-08-30		Gaymard et al		Gaymard,A., Pichon,M., Morfin,F.	
MF589071	MF589071.1	2013-52-541_Av	2013-XX-XX	Europe	France			Homo sapiens	2017-08-30		Gaymard et al		Gaymard,A., Pichon,M., Morfin,F.	
MF589072	MF589072.1	2013-01-124_Av	2013-XX-XX	Europe	France			Homo sapiens	2017-08-30		Gaymard et al		Gaymard,A., Pichon,M., Morfin,F.	
MF589073	MF589073.1	2013-01-294_Av	2013-XX-XX	Europe	France			Homo sapiens	2017-08-30		Gaymard et al		Gaymard,A., Pichon,M., Morfin,F.	
MG930190	MG930190.1	MG930190	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930191	MG930191.1	MG930191	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930192	MG930192.1	MG930192	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930193	MG930193.1	MG930193	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930194	MG930194.1	MG930194	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930196	MG930196.1	MG930196	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930197	MG930197.1	MG930197	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930198	MG930198.1	MG930198	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930199	MG930199.1	MG930199	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930200	MG930200.1	MG930200	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930201	MG930201.1	MG930201	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930202	MG930202.1	MG930202	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930203	MG930203.1	MG930203	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930204	MG930204.1	MG930204	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930205	MG930205.1	MG930205	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930206	MG930206.1	MG930206	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930207	MG930207.1	MG930207	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930208	MG930208.1	MG930208	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930209	MG930209.1	MG930209	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930211	MG930211.1	MG930211	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930212	MG930212.1	MG930212	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930213	MG930213.1	MG930213	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930214	MG930214.1	MG930214	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930215	MG930215.1	MG930215	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930216	MG930216.1	MG930216	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930217	MG930217.1	MG930217	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930218	MG930218.1	MG930218	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930238	MG930238.1	MG930238	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930239	MG930239.1	MG930239	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930240	MG930240.1	MG930240	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930241	MG930241.1	MG930241	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930242	MG930242.1	MG930242	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930243	MG930243.1	MG930243	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930244	MG930244.1	MG930244	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930245	MG930245.1	MG930245	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930246	MG930246.1	MG930246	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930247	MG930247.1	MG930247	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930248	MG930248.1	MG930248	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930249	MG930249.1	MG930249	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930250	MG930250.1	MG930250	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930251	MG930251.1	MG930251	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930252	MG930252.1	MG930252	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930253	MG930253.1	MG930253	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930254	MG930254.1	MG930254	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930255	MG930255.1	MG930255	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930256	MG930256.1	MG930256	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930257	MG930257.1	MG930257	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930258	MG930258.1	MG930258	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930259	MG930259.1	MG930259	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930260	MG930260.1	MG930260	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930261	MG930261.1	MG930261	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930262	MG930262.1	MG930262	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930263	MG930263.1	MG930263	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930264	MG930264.1	MG930264	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930265	MG930265.1	MG930265	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930266	MG930266.1	MG930266	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930267	MG930267.1	MG930267	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930268	MG930268.1	MG930268	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930269	MG930269.1	MG930269	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930270	MG930270.1	MG930270	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930271	MG930271.1	MG930271	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930272	MG930272.1	MG930272	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930273	MG930273.1	MG930273	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930274	MG930274.1	MG930274	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930275	MG930275.1	MG930275	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930276	MG930276.1	MG930276	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930277	MG930277.1	MG930277	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930278	MG930278.1	MG930278	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930279	MG930279.1	MG930279	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930280	MG930280.1	MG930280	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930281	MG930281.1	MG930281	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930282	MG930282.1	MG930282	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930283	MG930283.1	MG930283	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930284	MG930284.1	MG930284	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930285	MG930285.1	MG930285	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930286	MG930286.1	MG930286	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930287	MG930287.1	MG930287	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930288	MG930288.1	MG930288	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930289	MG930289.1	MG930289	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930290	MG930290.1	MG930290	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930291	MG930291.1	MG930291	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930292	MG930292.1	MG930292	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930293	MG930293.1	MG930293	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930294	MG930294.1	MG930294	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930295	MG930295.1	MG930295	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930296	MG930296.1	MG930296	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930297	MG930297.1	MG930297	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930298	MG930298.1	MG930298	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930299	MG930299.1	MG930299	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930300	MG930300.1	MG930300	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930301	MG930301.1	MG930301	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930302	MG930302.1	MG930302	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930303	MG930303.1	MG930303	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930304	MG930304.1	MG930304	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930305	MG930305.1	MG930305	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930306	MG930306.1	MG930306	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930307	MG930307.1	MG930307	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930308	MG930308.1	MG930308	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930309	MG930309.1	MG930309	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930310	MG930310.1	MG930310	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MG930311	MG930311.1	MG930311	2013-XX-XX	Europe	Germany	Wuerzburg		Homo sapiens	2018-03-19		Prifert et al		Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.	
MH750241	MH750241.1	BR_CE_05_2013	2013-XX-XX	South America	Brazil	Fortaleza	Ce	Homo sapiens	2019-09-15		Moura et al		Moura,F.E.A., Thomazelli,L.M., Campelo,F.S., Delfraro,A., Arbiza,J., Durigon,E.L.	
MH750242	MH750242.1	BR_CE_14_2013	2013-XX-XX	South America	Brazil	Fortaleza	Ce	Homo sapiens	2019-09-15		Moura et al		Moura,F.E.A., Thomazelli,L.M., Campelo,F.S., Delfraro,A., Arbiza,J., Durigon,E.L.	
MH750244	MH750244.1	BR_CE_35_2013	2013-XX-XX	South America	Brazil	Fortaleza	Ce	Homo sapiens	2019-09-15		Moura et al		Moura,F.E.A., Thomazelli,L.M., Campelo,F.S., Delfraro,A., Arbiza,J., Durigon,E.L.	
MH750245	MH750245.1	BR_CE_45_2013	2013-XX-XX	South America	Brazil	Fortaleza	Ce	Homo sapiens	2019-09-15		Moura et al		Moura,F.E.A., Thomazelli,L.M., Campelo,F.S., Delfraro,A., Arbiza,J., Durigon,E.L.	
MH750246	MH750246.1	BR_CE_98_2013	2013-XX-XX	South America	Brazil	Fortaleza	Ce	Homo sapiens	2019-09-15		Moura et al		Moura,F.E.A., Thomazelli,L.M., Campelo,F.S., Delfraro,A., Arbiza,J., Durigon,E.L.	
MH750247	MH750247.1	BR_CE_99_2013	2013-XX-XX	South America	Brazil	Fortaleza	Ce	Homo sapiens	2019-09-15		Moura et al		Moura,F.E.A., Thomazelli,L.M., Campelo,F.S., Delfraro,A., Arbiza,J., Durigon,E.L.	
MH750250	MH750250.1	BR_CE_129_2013	2013-XX-XX	South America	Brazil	Fortaleza	Ce	Homo sapiens	2019-09-15		Moura et al		Moura,F.E.A., Thomazelli,L.M., Campelo,F.S., Delfraro,A., Arbiza,J., Durigon,E.L.	
MH750251	MH750251.1	BR_CE_130_2013	2013-XX-XX	South America	Brazil	Fortaleza	Ce	Homo sapiens	2019-09-15		Moura et al		Moura,F.E.A., Thomazelli,L.M., Campelo,F.S., Delfraro,A., Arbiza,J., Durigon,E.L.	
MH750253	MH750253.1	BR_CE_139_2013	2013-XX-XX	South America	Brazil	Fortaleza	Ce	Homo sapiens	2019-09-15		Moura et al		Moura,F.E.A., Thomazelli,L.M., Campelo,F.S., Delfraro,A., Arbiza,J., Durigon,E.L.	
MH750254	MH750254.1	BR_CE_151_2013	2013-XX-XX	South America	Brazil	Fortaleza	Ce	Homo sapiens	2019-09-15		Moura et al		Moura,F.E.A., Thomazelli,L.M., Campelo,F.S., Delfraro,A., Arbiza,J., Durigon,E.L.	
