accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	reverse	authors	institution
KF156485	KF156485.1	KF156485	2009-12-18	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KF156486	KF156486.1	KF156486	2009-12-18	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KF156487	KF156487.1	KF156487	2009-12-19	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KF156488	KF156488.1	KF156488	2009-12-19	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KF156489	KF156489.1	KF156489	2009-12-19	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KT765407	KT765407.1	KEN/Kilifi/781_20/12/2009	2009-12-20	Africa	Kenya			Homo sapiens	2016-02-27		Otieno et al		Otieno,J.R., Agoti,C.N., Gitahi,C.W., Bett,A., Ngama,M., Medley,G.F., Cane,P.A., Nokes,D.J., Nokes,J.D.	
KF156490	KF156490.1	KF156490	2009-12-21	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KF156491	KF156491.1	KF156491	2009-12-21	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KJ658814	KJ658814.1	SH09122102NA1	2009-12-21	Asia	China			Homo sapiens	2014-12-20		Liu et al		Liu,J., Mu,Y., Dong,W., Yao,F., Wang,L., Yan,H., Lan,K., Zhang,C.	
MF445782	MF445782.1	MF445782	2009-12-21	Asia	China			Homo sapiens	2019-12-31		Su et al		Su,Y., Wu,Y., Tian,R., Liang,G.	
MF445975	MF445975.1	MF445975	2009-12-21	Asia	China			Homo sapiens	2019-12-31		Su et al		Su,Y., Wu,Y., Tian,R., Liang,G.	
OK458644	OK458644.1	OK458644	2009-12-21	Africa	Kenya			Homo sapiens	2021-12-13		Wangui et al		Wangui,J.M., Nokes,J.D., Opot,B.H., Opanda,S.M., Agoti,C.N., Otieno,J.R., Bulimo,W.D.	
KF156492	KF156492.1	KF156492	2009-12-22	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KF156493	KF156493.1	KF156493	2009-12-22	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KF156494	KF156494.1	KF156494	2009-12-22	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KF156495	KF156495.1	KF156495	2009-12-22	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
KF156496	KF156496.1	KF156496	2009-12-22	Africa	Kenya			Homo sapiens	2013-11-30		Agoti et al		Agoti,C.N., Mayieka,L.M., Otieno,J.R., Ahmed,J.A., Fields,B.S., Waiboci,L.W., Nyoka,R., Eidex,R.B., Marano,N., Burton,W., Montgomery,J.M., Breiman,R.F., Nokes,D.J., Mayieka,L., Fields,B., Waiboci,L.B., Eidex,R., Morano,N., Montgomery,J., Breiman,R.	
AB978292	AB978292.1	AB978292	2009-12-23	Asia	Japan	Fukui		Homo sapiens	2014-10-04		Hirano et al		Hirano,E., Kobayashi,M., Tsukagoshi,H., Yoshida,L.M., Kuroda,M., Noda,M., Ishioka,T., Kozawa,K., Ishii,H., Yoshida,A., Oishi,K., Ryo,A., Kimura,H.	
